health_sys_id,health_sys_name,health_sys_city,health_sys_state,in_onekey,in_aha,onekey_id,aha_sysid,total_mds,prim_care_mds,total_nps,total_pas,grp_cnt,hosp_cnt,acutehosp_cnt,nh_cnt,sys_multistate,sys_beds,sys_dsch,sys_res,maj_inv_owned,deg_children,sys_incl_majteachhosp,sys_incl_vmajteachhosp,sys_teachint,sys_incl_highdpphosp,sys_highucburden,sys_incl_highuchosp,sys_anyins_product,sys_mcare_adv,sys_mcaid_mngcare,sys_healthins_mktplc,sys_ma_plan_contracts,sys_ma_plan_enroll,sys_apm,sys_aco,sys_ebpm,sys_pctm
HSI00000008,Adena Health System,Chillicothe,OH,1,1,17780403,0895,221,89,94,12,51,3,3,0,1,239,10533,45.79,0,0,0,0,1,0,1,1,0,0,0,0,,,1,144,0,28
HSI00000010,Adventist Health System,Altamonte Springs,FL,1,1,17773293,4165,2558,940,668,269,570,34,33,15,3,7700,366041,209.41,0,0,0,0,1,1,1,1,1,1,1,1,,,1,1342,0,30
HSI00000011,Adventist Health,Roseville,CA,1,1,17773620,0235,1716,621,358,300,345,28,25,5,3,2659,136567,123.41,0,0,0,0,1,1,0,1,1,1,1,0,,,1,232,0,26
HSI00000012,Adventist Healthcare,Gaithersburg,MD,1,1,17773292,0214,283,85,46,63,46,4,2,0,1,496,33181,0,0,0,0,0,0,1,0,0,1,0,0,0,,,0,0,0,0
HSI00000018,Alameda Health System,Oakland,CA,1,1,18283551,0225,474,163,44,43,9,3,3,4,1,265,15310,99.99,0,0,1,0,2,1,1,1,0,0,0,0,,,0,0,0,0
HSI00000019,Albany Medical Center,Albany,NY,1,0,18202149,,731,152,111,141,88,3,2,0,1,909,49205,366.91,0,0,1,0,2,0,0,0,0,0,0,0,,,1,0,0,38
HSI00000020,Albert Einstein Healthcare Network,Philadelphia,PA,1,1,18150651,1685,961,301,86,87,101,2,2,1,1,577,37134,325.61,0,0,1,1,2,1,0,0,1,1,1,0,,,1,477,20,0
HSI00000021,Alecto Healthcare Services,Irvine,CA,1,1,18394721,1020,209,42,15,20,16,7,6,1,3,905,23673,32.2,1,0,1,0,1,1,0,1,0,0,0,0,,,0,0,0,0
HSI00000025,Allegheny Health Network,Pittsburgh,PA,1,1,17773987,0199,3094,525,280,294,382,8,8,1,2,1858,81024,559.76,0,0,1,1,2,0,0,0,0,0,0,0,H3916; H3957; H5106; H5932; H9190,315859,1,1039,56,0
HSI00000029,Allina Health System,Minneapolis,MN,1,1,17773295,0041,1728,829,335,243,200,13,12,1,2,1725,116339,64.26,0,0,0,0,1,0,0,0,1,1,0,1,,,1,613,0,0
HSI00000032,Altru Health System,Grand Forks,ND,1,0,17830969,,295,126,57,28,29,1,1,0,1,276,14257,30.19,0,0,0,0,1,0,0,0,1,0,0,1,,,1,0,0,33
HSI00000034,Anderson Regional Health System,Meridian,MS,1,0,18359667,,69,14,42,5,25,2,2,0,1,293,11489,0.23,0,0,0,0,1,0,0,0,0,0,0,0,,,1,24,0,0
HSI00000036,Ann and Robert H Lurie Childrens Hospital,Chicago,IL,1,0,17773934,,552,207,251,10,13,1,1,0,1,312,11868,244.49,0,2,1,1,2,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000038,Anne Arundel Health System,Annapolis,MD,1,0,17830970,,397,98,105,75,91,1,1,0,1,415,25069,8.64,0,0,0,0,1,0,0,0,1,1,0,0,,,1,234,0,0
HSI00000041,Appalachian Regional Healthcare,Lexington,KY,1,1,17774074,0145,210,77,64,14,47,12,12,1,2,803,26280,9.32,0,0,0,0,1,1,0,1,0,0,0,0,,,0,0,0,0
