YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,WKSWORK1,UHRSWORK,INCTOT,INCWAGE
2020,202001,22,2020010001976,6026,2020000000221,60001,3,1,6026,1,28,6,63,22,40,7500,7500
2020,202001,284,2020010020986,4716,2020000002841,10001,3,1,4716,1,57,6,63,0,0,0,0
2020,202001,415,2020010030404,6943,2020000004151,60001,3,1,6943,1,48,6,63,0,0,0,0
2020,202001,546,2020010039535,7205,2020000005461,200001,4,1,7205,1,19,7,71,12,40,2000,2000
2020,202001,939,2020010066760,7598,2020000009391,180001,3,1,7598,1,29,5,50,0,0,0,0
2020,202001,1201,2020010084765,6157,2020000012011,30201,3,1,6157,1,31,7,71,0,0,0,0
2020,202001,1332,2020010093449,6550,2020000013321,10001,4,1,6550,2,18,6,63,0,0,13200,0
2020,202001,1463,2020010102757,12314,2020000014631,230001,4,1,12314,1,21,5,50,0,0,0,0
2020,202001,1594,2020010112499,7860,2020000015941,20001,3,1,7860,1,48,8,81,0,0,0,0
2020,202001,1856,2020010131025,5895,2020000018561,10001,4,1,5895,1,22,10,101,3,35,12000,12000
2020,202001,2118,2020010149060,1179,2020000021181,110001,3,1,1179,2,45,10,101,0,0,3000,0
2020,202001,2249,2020010158676,7074,2020000022491,240001,4,1,7074,2,18,6,63,0,0,0,0
2020,202001,2380,2020010168228,1048,2020000023801,80001,4,1,1048,2,48,6,63,0,0,15500,0
2020,202001,2511,2020010177205,7729,2020000025111,190001,4,1,7729,2,19,7,71,0,0,0,0
2020,202001,2642,2020000000391,23580,2020000026421,200001,1,1,23580,2,59,3,30,0,0,9400,0
2020,202001,3035,2020000029582,108861,2020000030351,70001,1,1,108861,1,57,7,71,0,0,80400,0
2020,202001,3035,2020000029582,108861,2020000030351,70001,1,2,83185,2,60,7,71,0,0,0,0
2020,202001,3035,2020000029582,108861,2020000030351,70001,1,3,84233,1,18,4,40,0,0,0,0
2020,202001,3428,2020000056097,17947,2020000034281,260001,1,1,17947,1,24,10,101,52,40,20000,20000
2020,202001,3559,2020000065424,5240,2020000035591,230001,1,1,5240,1,59,6,63,52,55,101000,101000
2020,202001,3690,2020000074056,13100,2020000036901,150001,1,1,13100,1,44,8,81,52,50,50000,50000
2020,202001,3690,2020000074056,13100,2020000036901,150001,1,2,13886,2,46,10,101,0,0,0,0
2020,202001,3952,2020000093823,4192,2020000039521,250001,1,2,8515,1,43,0,2,0,0,30000,0
2020,202001,4083,2020000104522,43885,2020000040831,30201,1,3,83578,2,41,7,71,0,0,0,0
2020,202001,4214,2020000114336,17292,2020000042141,30101,1,1,17292,1,48,8,81,52,40,70000,70000
2020,202001,4869,2020000158810,32619,2020000048691,270201,1,1,32619,1,54,7,71,52,40,60000,60000
2020,202001,5262,2020000185983,17030,2020000052621,60001,1,1,17030,1,60,4,40,0,0,0,0
2020,202001,5262,2020000185983,17030,2020000052621,60001,1,2,15851,2,60,6,63,0,0,15300,0
2020,202001,5655,2020000211173,21091,2020000056551,240001,1,1,21091,2,58,8,81,4,24,15990,0
2020,202001,5786,2020000220914,15327,2020000057861,20001,1,1,15327,1,56,6,63,52,50,85000,85000
2020,202001,5786,2020000220914,15327,2020000057861,20001,1,2,13100,2,57,6,63,52,20,10000,10000
2020,202001,5917,2020000229762,5764,2020000059171,50001,1,1,5764,1,60,6,65,0,0,21600,0
2020,202001,6048,2020000238787,8646,2020000060481,130401,1,1,8646,1,51,6,63,52,50,25000,25000
2020,202001,6048,2020000238787,8646,2020000060481,130401,1,2,9170,2,51,6,63,0,0,0,0
2020,202001,6310,2020000260790,7598,2020000063101,50001,1,3,13231,1,27,6,64,0,0,14000,0
2020,202001,6572,2020000279172,14410,2020000065721,70001,1,1,14410,1,60,5,50,0,0,9300,0
2020,202001,6834,2020000298955,13493,2020000068341,20001,1,1,13493,1,55,10,101,52,50,120000,120000
2020,202001,6834,2020000298955,13493,2020000068341,20001,1,2,15065,2,48,6,65,0,0,0,0
2020,202001,6834,2020000298955,13493,2020000068341,20001,1,3,16244,1,21,6,63,52,45,20000,20000
2020,202001,6834,2020000298955,13493,2020000068341,20001,1,4,14017,2,19,6,63,0,0,0,0
2020,202001,6965,2020000306824,10480,2020000069651,270301,1,1,10480,2,55,8,81,0,0,0,0
2020,202001,7227,2020000325732,2882,2020000072271,250001,1,3,4192,2,31,6,61,0,0,4000,0
2020,202001,7620,2020000354515,41658,2020000076201,260001,1,1,41658,1,31,6,63,52,40,56000,56000
2020,202001,7620,2020000354515,41658,2020000076201,260001,1,2,50435,2,22,6,63,52,30,35000,21000
2020,202001,7751,2020000362968,11266,2020000077511,40001,1,1,11266,1,32,6,63,52,70,100000,0
2020,202001,7751,2020000362968,11266,2020000077511,40001,1,2,12445,2,32,6,63,44,40,26000,26000
2020,202001,7751,2020000362968,11266,2020000077511,40001,1,3,9039,1,18,5,50,52,12,4000,4000
2020,202001,7882,2020000372992,12314,2020000078821,170001,1,1,12314,1,22,6,65,6,8,500,500
2020,202001,8013,2020000381823,8646,2020000080131,130501,1,2,22532,1,46,3,30,24,15,2600,2600
2020,202001,8144,2020000391404,20698,2020000081441,140001,1,1,20698,2,35,8,81,52,40,26000,26000
2020,202001,8275,2020000400800,14410,2020000082751,130501,1,1,14410,2,51,10,101,52,31,61000,61000
2020,202001,8537,2020000419827,5371,2020000085371,170001,1,1,5371,1,44,6,61,0,0,9400,0
2020,202001,8668,2020000429503,3799,2020000086681,230001,1,1,3799,1,24,10,101,52,50,100000,100000
2020,202001,8799,2020000438020,4978,2020000087991,100001,1,2,16506,2,32,6,63,52,40,15600,15600
2020,202001,8930,2020000447699,7598,2020000089301,170001,1,1,7598,2,58,6,63,52,40,25000,25000
2020,202001,8930,2020000447699,7598,2020000089301,170001,1,2,8646,1,59,6,63,52,40,15000,15000
2020,202001,9061,2020000456645,15982,2020000090611,90001,1,1,15982,1,35,6,65,52,45,38700,38700
2020,202001,9061,2020000456645,15982,2020000090611,90001,1,2,15589,2,35,7,71,52,42,14000,14000
2020,202001,9192,2020000465982,6681,2020000091921,10001,1,1,6681,2,58,8,81,4,24,4700,2500
2020,202001,9192,2020000465982,6681,2020000091921,10001,1,2,7074,1,58,6,65,52,40,65000,65000
2020,202001,9323,2020000476149,3799,2020000093231,250001,1,1,3799,2,40,7,71,52,45,36000,36000
2020,202001,9323,2020000476149,3799,2020000093231,250001,1,2,4061,1,43,6,65,52,50,32000,32000
2020,202001,9585,2020000497758,6419,2020000095851,10001,1,1,6419,2,60,11,114,52,50,60000,60000
2020,202001,9585,2020000497758,6419,2020000095851,10001,1,2,6026,1,54,6,63,52,40,38500,38500
2020,202001,9716,2020000507271,6550,2020000097161,40001,1,2,6419,2,59,6,65,0,0,0,0
2020,202001,9847,2020000516820,27117,2020000098471,130401,1,1,27117,1,42,6,64,52,40,58000,50000
2020,202001,9847,2020000516820,27117,2020000098471,130401,1,2,27641,2,40,4,40,52,40,30000,30000
2020,202001,9978,2020000525322,9694,2020000099781,60001,1,1,9694,2,54,7,71,0,0,0,0
2020,202001,9978,2020000525322,9694,2020000099781,60001,1,2,9170,1,54,10,101,0,0,10,0
2020,202001,10109,2020000532868,5764,2020000101091,250001,1,2,9039,1,60,6,63,52,40,22000,22000
2020,202001,10240,2020000542024,8384,2020000102401,150001,1,2,8646,2,59,6,63,52,55,100000,100000
2020,202001,10371,2020000551935,5895,2020000103711,130501,1,1,5895,2,45,7,71,52,40,40000,40000
2020,202001,10371,2020000551935,5895,2020000103711,130501,1,2,6157,2,18,6,63,0,0,150,0
2020,202001,10371,2020000551935,5895,2020000103711,130501,1,3,8777,1,37,10,101,40,40,70000,0
2020,202001,10371,2020000551935,5895,2020000103711,130501,1,4,11004,2,34,6,65,52,40,14000,14000
2020,202001,10371,2020000551935,5895,2020000103711,130501,1,5,6026,2,18,6,63,2,22,1500,1500
2020,202001,10633,2020000572258,72050,2020000106331,240001,1,1,72050,2,37,6,65,52,40,40000,40000
2020,202001,10764,2020000582351,8384,2020000107641,90001,1,1,8384,1,57,7,71,0,0,26000,0
2020,202001,10764,2020000582351,8384,2020000107641,90001,1,2,9039,2,55,7,71,52,40,24000,24000
2020,202001,10895,2020000591118,3799,2020000108951,120001,1,1,3799,2,56,11,116,52,40,75150,75000
2020,202001,10895,2020000591118,3799,2020000108951,120001,1,2,6026,1,19,7,71,8,15,600,600
2020,202001,11026,2020000602091,8646,2020000110261,140001,1,1,8646,1,37,6,63,52,40,65000,65000
2020,202001,11288,2020000619736,21222,2020000112881,20001,1,1,21222,2,53,8,81,0,0,0,0
2020,202001,11288,2020000619736,21222,2020000112881,20001,1,2,23187,1,48,6,61,36,30,15000,0
2020,202001,11419,2020000629721,18602,2020000114191,170001,1,1,18602,1,60,7,71,52,40,108000,108000
2020,202001,11419,2020000629721,18602,2020000114191,170001,1,2,15589,2,59,6,63,52,40,45000,45000
2020,202001,11681,2020000647224,17554,2020000116811,110001,1,1,17554,1,26,6,63,52,40,56000,56000
2020,202001,11681,2020000647224,17554,2020000116811,110001,1,2,23973,2,29,7,71,0,0,0,0
2020,202001,11812,2020000655149,8253,2020000118121,230001,1,1,8253,1,40,11,114,46,60,75000,75000
2020,202001,11812,2020000655149,8253,2020000118121,230001,1,2,8253,2,42,11,114,42,40,60000,60000
2020,202001,12336,2020000695416,9825,2020000123361,60001,1,1,9825,1,57,10,101,52,45,85000,85000
2020,202001,12336,2020000695416,9825,2020000123361,60001,1,2,11266,2,52,7,71,52,40,25000,25000
2020,202001,12467,2020000703966,9825,2020000124671,40001,1,1,9825,2,60,11,115,52,40,60100,60000
2020,202001,12598,2020000711687,25152,2020000125981,30201,1,1,25152,1,31,6,63,52,30,15000,15000
2020,202001,12729,2020000721390,4585,2020000127291,250001,1,1,4585,2,57,7,71,52,60,30000,30000
2020,202001,12860,2020000730970,20960,2020000128601,80001,1,1,20960,1,23,6,63,52,40,31200,31200
2020,202001,12860,2020000730970,20960,2020000128601,80001,1,2,21353,2,23,7,71,52,40,28000,28000
2020,202001,13122,2020000749690,27641,2020000131221,270201,1,1,27641,2,38,6,63,0,0,0,0
2020,202001,13122,2020000749690,27641,2020000131221,270201,1,2,22270,1,46,6,63,52,40,40000,40000
2020,202001,13122,2020000749690,27641,2020000131221,270201,1,3,37859,1,20,6,63,0,0,0,0
2020,202001,13515,2020000781967,23187,2020000135151,180001,1,1,23187,1,51,6,63,47,40,28000,28000
2020,202001,13515,2020000781967,23187,2020000135151,180001,1,2,34322,2,48,8,81,52,40,56000,0
2020,202001,13515,2020000781967,23187,2020000135151,180001,1,3,38514,1,21,6,63,48,40,32000,32000
2020,202001,13515,2020000781967,23187,2020000135151,180001,1,4,28034,2,19,6,63,45,30,8500,8500
2020,202001,14039,2020000824914,11790,2020000140391,180001,1,1,11790,1,23,6,63,52,50,64000,64000
2020,202001,14039,2020000824914,11790,2020000140391,180001,1,2,11659,2,21,6,63,52,36,26000,26000
2020,202001,14170,2020000835080,6026,2020000141701,250001,1,1,6026,2,49,11,116,52,40,77000,77000
2020,202001,14170,2020000835080,6026,2020000141701,250001,1,2,5240,1,54,6,63,0,0,22000,0
2020,202001,14170,2020000835080,6026,2020000141701,250001,1,3,8908,1,27,8,81,52,40,75000,75000
2020,202001,14301,2020000844423,4847,2020000143011,30201,1,2,6812,2,57,11,116,0,0,9500,0
2020,202001,14432,2020000854192,13886,2020000144321,80001,1,1,13886,1,24,6,64,52,50,386000,386000
2020,202001,14432,2020000854192,13886,2020000144321,80001,1,2,25938,2,25,6,65,52,50,30000,30000
2020,202001,14563,2020000863910,19257,2020000145631,10001,1,1,19257,1,35,10,101,52,50,46700,46700
2020,202001,14563,2020000863910,19257,2020000145631,10001,1,2,17685,2,30,7,71,52,40,50000,50000
2020,202001,14694,2020000874944,8777,2020000146941,170001,1,1,8777,1,53,11,114,5,24,104470,470
2020,202001,14694,2020000874944,8777,2020000146941,170001,1,2,8777,2,53,6,63,0,0,0,0
2020,202001,15087,2020000903332,22139,2020000150871,130301,1,1,22139,1,45,10,101,4,24,100,100
2020,202001,15087,2020000903332,22139,2020000150871,130301,1,2,20698,2,44,10,101,30,18,34600,34600
2020,202001,15218,2020000911914,14279,2020000152181,20001,1,1,14279,1,45,10,101,52,50,48500,48500
2020,202001,15218,2020000911914,14279,2020000152181,20001,1,2,17292,2,44,10,101,52,55,42000,42000
2020,202001,15742,2020000948393,16899,2020000157421,260001,1,1,16899,1,42,10,101,52,60,60700,46700
2020,202001,15742,2020000948393,16899,2020000157421,260001,1,2,25283,2,32,4,40,0,0,0,0
2020,202001,15873,2020000958533,11397,2020000158731,160001,1,1,11397,2,21,6,63,52,35,18000,18000
2020,202001,15873,2020000958533,11397,2020000158731,160001,1,2,23973,1,21,6,63,52,40,18000,18000
2020,202001,16135,2020000975543,10873,2020000161351,220001,1,2,21353,1,56,6,63,52,40,42000,42000
2020,202001,16135,2020000975543,10873,2020000161351,220001,1,3,22794,2,51,11,114,52,40,80000,80000
2020,202001,16266,2020000984220,64845,2020000162661,130401,1,1,64845,1,41,11,115,52,40,120000,120000
2020,202001,16266,2020000984220,64845,2020000162661,130401,1,2,64321,2,35,10,101,52,16,30000,30000
2020,202001,16397,2020000993633,5240,2020000163971,40001,1,2,13362,2,37,7,71,52,36,14000,14000
